,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Guyana,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
4/28/20,24,80,80,705,1437,6416,345,125,38,530,74,74,702,364,100,16,75,13,6021,15,116,70
4/29/20,24,80,80,713,1467,6652,377,125,38,557,78,76,738,396,100,16,75,13,6378,17,116,73
4/30/20,24,81,81,719,1501,6972,395,126,38,599,82,76,771,422,100,16,75,14,6532,17,116,73
5/1/20,25,81,81,725,1537,7288,424,128,38,644,82,76,804,432,100,16,76,14,6720,17,116,74
5/2/20,25,83,81,733,1611,7578,446,128,38,688,82,81,1010,463,100,16,76,14,7090,17,116,74
5/3/20,25,83,82,739,1649,7954,490,128,38,703,82,85,1055,469,100,16,76,15,7090,18,116,74
5/4/20,25,83,82,742,1668,8235,555,133,38,730,92,85,1178,471,100,16,76,15,7197,18,116,75
5/5/20,25,89,82,755,1685,8480,587,133,38,763,93,88,1270,473,101,16,76,16,7523,18,116,78
5/6/20,25,92,82,761,1703,8807,633,138,38,798,93,100,1461,478,101,16,76,16,7731,18,116,78
5/7/20,25,92,82,765,1729,9095,695,138,38,832,93,101,1685,488,101,16,76,16,7868,18,116,80
5/8/20,25,92,83,773,1741,9376,742,141,38,900,94,108,1771,490,101,16,76,16,8070,18,116,81
5/9/20,25,92,84,780,1754,9882,784,141,39,967,94,129,1830,490,101,16,76,16,8282,18,116,81
5/10/20,25,92,84,792,1766,10347,889,144,39,1052,104,146,1972,502,101,16,76,16,8448,18,116,81
5/11/20,25,93,84,801,1783,10634,958,144,39,1114,109,151,2100,505,101,16,76,16,8616,18,116,84
5/12/20,25,93,85,804,1804,10900,998,144,39,1199,113,172,2080,507,101,16,76,25,8783,18,116,85
5/13/20,25,94,85,815,1810,11196,1037,153,39,1342,113,209,2255,509,101,16,76,25,8944,18,116,86
5/14/20,25,96,85,830,1830,11320,1112,164,39,1518,113,219,2318,509,101,16,76,25,9118,18,116,93
5/15/20,25,96,85,843,1840,11739,1210,189,39,1643,116,234,2460,511,101,16,76,25,9268,18,116,94
5/16/20,25,96,86,853,1862,12110,1265,197,39,1763,117,273,2565,517,101,16,77,25,9449,18,116,94
5/17/20,25,96,88,863,1872,12314,1338,197,39,1763,117,310,2646,520,101,16,77,25,9606,18,116,94
5/18/20,25,96,88,866,1881,12725,1413,210,39,1912,124,358,2798,520,101,16,77,25,9726,18,116,94
5/19/20,25,96,90,882,1887,13223,1498,218,39,2133,125,456,2955,520,101,16,77,254,9867,18,116,111
5/20/20,25,97,90,897,1900,13477,1571,237,40,2265,125,533,2955,529,101,16,77,254,9977,18,116,111
5/21/20,25,97,90,903,1908,13657,1640,249,40,2512,127,596,3204,534,101,16,77,279,10116,18,116,121
5/22/20,25,97,90,911,1916,13989,1725,261,40,2743,127,663,3477,544,101,16,77,279,10267,18,116,129
5/23/20,25,100,92,918,1931,14422,1819,279,40,3054,127,734,3477,550,101,17,77,279,10577,18,116,129
5/24/20,25,100,92,930,1941,14801,1915,328,40,3424,135,812,3950,552,101,17,77,279,10926,18,116,129
5/25/20,25,100,92,951,1947,15073,1983,353,40,3760,137,865,4189,556,101,18,77,279,11183,18,116,134
5/26/20,25,100,92,956,1963,15264,2042,384,40,3954,139,958,4401,564,101,18,77,759,11447,18,116,137
5/27/20,25,100,92,984,1974,15723,2109,406,40,4145,139,1063,4640,569,101,18,77,759,11728,18,116,140
5/28/20,25,101,92,1000,1983,16068,2194,436,40,4348,150,1174,4752,569,101,18,77,759,12131,18,116,140
5/29/20,25,102,92,1022,2005,16531,2278,450,40,4607,150,1320,4752,575,101,18,77,759,12531,18,116,141
5/30/20,25,102,92,1047,2025,16908,2395,477,41,4739,152,1443,5094,581,101,19,77,759,13018,18,117,141
5/31/20,26,102,92,1056,2045,17285,2517,499,41,5087,153,1584,5202,586,101,19,77,759,13463,18,117,141
6/1/20,26,102,92,1084,2083,17572,2582,499,41,5336,153,1865,5362,588,101,19,77,759,13837,18,117,150
