,Costa Rica,Panama,Guatemala,Nicaragua,El Salvador,Honduras,Dominican Republic,Jamaica,Trinidad and Tobago,Cuba
6/14/20,1715,21418,9845,1464,3720,8858,22962,617,123,2248
6/15/20,1744,21422,10272,1464,3826,9178,23271,621,123,2262
6/16/20,1796,21962,10706,1823,3941,9656,23686,621,123,2273
6/17/20,1871,22597,11251,1823,4066,10299,24105,626,123,2280
6/18/20,1939,23351,11868,1823,4200,10739,24645,638,123,2295
6/19/20,2058,24274,12509,1823,4329,11258,25068,652,123,2305
6/20/20,2127,25222,12755,1823,4475,12306,25778,657,123,2309
6/21/20,2213,26030,13145,1823,4626,12769,26677,659,123,2312
6/22/20,2277,26752,13769,1823,4808,13356,27370,665,123,2315
6/23/20,2368,27314,14540,2170,4973,13943,27936,670,123,2318
6/24/20,2515,28030,14819,2170,5150,14571,28631,678,123,2319
6/25/20,2684,29037,15619,2170,5336,15366,29141,684,123,2321
6/26/20,2836,29905,15828,2170,5517,15994,29764,686,124,2325
6/27/20,2979,30658,16397,2170,5727,17007,30619,690,126,2330
6/28/20,3130,31686,16930,2170,5934,18082,31373,696,126,2332
6/29/20,3269,32785,17409,2170,6173,18818,31816,698,126,2340
